state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
06,059,0007,88101,1,33.83062,-117.93845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,347,95.0,Y,347,365,0,18,4.0,4.0,Certified,9.402305,4.987017,36.1,2019-07-04 00:00,36.1,2019-11-12 00:00,35.6,2019-11-07 00:00,35.6,2019-11-13 00:00,,,,,35.6,23.8,17.7,13.9,11.4,8.8,4.4,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,059,2022,88101,1,33.63003,-117.67593,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,111,92.0,Y,111,121,0,10,0.0,0.0,Certified,7.13964,3.721712,20.8,2019-11-14 00:00,19.2,2019-11-11 00:00,14.7,2019-11-08 00:00,14.5,2019-10-15 00:00,,,,,19.2,14.7,13.9,11.7,9.1,6.7,3.0,Mission Viejo,"26081 VIA PERA, MISSION VIEJO, CA 92691",California,Orange,Mission Viejo,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,0002,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,61,100.0,Y,61,61,0,0,0.0,0.0,Certified,8.703279,4.967862,22.8,2019-11-11 00:00,20.4,2019-04-27 00:00,17.4,2019-11-05 00:00,16.9,2019-07-14 00:00,,,,,22.8,20.4,16.9,14.8,12.0,7.7,3.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Excluded,59,100.0,Y,60,60,0,0,0.0,0.0,Certified,9.686441,5.143005,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,17.4,2019-04-24 00:00,,,,,28.9,21.5,19.0,15.0,12.4,9.7,3.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Included,60,100.0,Y,60,60,1,0,1.0,1.0,Certified,10.691667,9.307575,70.0,2019-07-05 00:00,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,,,,,70.0,28.9,21.5,16.7,12.5,10.0,3.7,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Concurred Events Excluded,60,100.0,Y,60,60,1,0,1.0,1.0,Certified,10.691667,9.307575,70.0,2019-07-05 00:00,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,,,,,70.0,28.9,21.5,16.7,12.5,10.0,3.7,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,1302,88101,1,33.901389,-118.205,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2019,Micrograms/cubic meter (LC),No Events,303,99.0,Y,303,305,0,2,1.0,1.0,Certified,11.026073,5.386691,39.5,2019-11-07 00:00,32.7,2019-11-13 00:00,31.7,2019-11-12 00:00,30.9,2019-07-04 00:00,,,,,30.9,26.6,22.5,16.9,13.0,10.5,5.3,Compton,700 North Bullis Road,California,Los Angeles,Compton,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,4002,88101,1,33.82376,-118.18921,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,159,86.0,Y,156,181,0,27,0.0,0.0,Certified,9.018239,4.45347,28.0,2019-01-28 00:00,24.5,2019-01-29 00:00,22.2,2019-01-04 00:00,20.7,2019-01-05 00:00,,,,,24.5,20.7,17.7,15.1,11.3,8.9,4.1,Long Beach (North),"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,4004,88101,1,33.79236,-118.17533,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,354,97.0,Y,354,365,0,11,0.0,0.0,Certified,9.239266,4.815621,30.6,2019-11-07 00:00,30.5,2019-11-12 00:00,30.3,2019-11-13 00:00,29.2,2019-01-28 00:00,,,,,29.2,23.2,18.6,14.4,11.1,8.8,3.9,Long Beach (South),"1305 E. Pacific Coast Hwy., Long Beach",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,4008,88101,1,33.859662,-118.200707,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,360,99.0,Y,360,365,0,5,1.0,1.0,Certified,11.013611,5.204408,36.7,2019-11-07 00:00,34.7,2019-01-28 00:00,30.9,2019-01-11 00:00,30.7,2019-11-12 00:00,,,,,30.7,26.4,21.0,16.6,13.0,10.5,5.5,Long Beach-Route 710 Near Road,5895 Long Beach Blvd.,California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,359,98.0,Y,359,365,0,6,1.0,1.0,Certified,10.867409,5.610492,43.5,2019-11-07 00:00,33.4,2019-12-13 00:00,32.9,2019-01-29 00:00,32.1,2019-11-13 00:00,,,,,32.1,28.3,21.0,16.7,13.0,10.2,5.0,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,1103,88101,2,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,59,97.0,Y,59,61,0,3,0.0,0.0,Certified,10.445763,4.897372,31.2,2019-11-11 00:00,19.7,2019-10-12 00:00,19.1,2019-02-26 00:00,17.9,2019-04-27 00:00,,,,,31.2,19.7,19.1,16.1,13.1,9.8,4.7,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,2005,88101,1,34.1326,-118.1272,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,114,94.0,Y,114,121,0,7,1.0,1.0,Certified,9.139474,5.749361,41.8,2019-07-05 00:00,30.9,2019-11-11 00:00,27.5,2019-12-14 00:00,24.6,2019-11-14 00:00,,,,,30.9,27.5,19.2,13.6,10.6,8.5,3.7,Pasadena,"752 S. WILSON AVE., PASADENA",California,Los Angeles,Pasadena,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,2005,88101,2,34.1326,-118.1272,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,61,100.0,Y,61,61,0,0,0.0,0.0,Certified,8.711475,4.836186,31.8,2019-11-11 00:00,21.6,2019-04-27 00:00,18.2,2019-02-26 00:00,15.5,2019-07-14 00:00,,,,,31.8,21.6,15.5,13.1,10.6,8.4,3.8,Pasadena,"752 S. WILSON AVE., PASADENA",California,Los Angeles,Pasadena,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
