state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
06,059,0007,88101,1,33.83062,-117.93845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),Events Excluded,93,26.0,N,94,365,0,271,3.0,3.0,Uncertified (past due),12.884946,8.414441,40.0,2014-01-11 00:00,39.4,2014-01-10 00:00,38.8,2014-01-02 00:00,31.3,2014-01-12 00:00,,,,,40.0,39.4,30.8,27.1,16.4,10.4,4.7,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,059,0007,88101,1,33.83062,-117.93845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),Events Included,94,26.0,N,94,365,1,271,4.0,4.0,Uncertified (past due),13.226596,9.000755,45.0,2014-01-01 00:00,40.0,2014-01-11 00:00,39.4,2014-01-10 00:00,38.8,2014-01-02 00:00,,,,,45.0,40.0,31.3,27.9,16.5,10.7,4.9,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,059,0007,88101,1,33.83062,-117.93845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),Concurred Events Excluded,94,26.0,N,94,365,1,271,4.0,4.0,Uncertified (past due),13.226596,9.000755,45.0,2014-01-01 00:00,40.0,2014-01-11 00:00,39.4,2014-01-10 00:00,38.8,2014-01-02 00:00,,,,,45.0,40.0,31.3,27.9,16.5,10.7,4.9,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,059,2022,88101,1,33.63003,-117.67593,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,38,31.0,N,38,122,0,85,0.0,0.0,Uncertified (past due),8.557895,5.210417,25.5,2014-01-29 00:00,21.6,2014-11-10 00:00,20.5,2014-01-11 00:00,17.0,2014-12-22 00:00,,,,,25.5,25.5,21.6,17.0,9.5,7.8,3.2,Mission Viejo,"26081 VIA PERA, MISSION VIEJO, CA 92691",California,Orange,Mission Viejo,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,0002,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,34,28.0,N,34,122,0,89,0.0,0.0,Uncertified (past due),11.658824,8.381875,32.4,2014-01-17 00:00,29.9,2014-01-29 00:00,26.2,2014-01-23 00:00,25.7,2014-02-19 00:00,,,,,32.4,32.4,29.9,25.7,15.0,10.2,4.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,1002,88101,1,34.17605,-118.31712,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),Events Excluded,55,15.0,N,56,365,0,125,1.0,1.0,Uncertified (past due),14.412727,8.746387,37.6,2014-01-04 00:00,34.7,2014-01-09 00:00,28.8,2014-01-30 00:00,27.3,2014-01-08 00:00,,,,,37.6,34.7,28.8,27.2,21.6,11.8,3.7,Burbank,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,1002,88101,1,34.17605,-118.31712,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),Events Included,56,15.0,N,56,365,1,125,2.0,2.0,Uncertified (past due),15.308929,10.958389,64.6,2014-01-01 00:00,37.6,2014-01-04 00:00,34.7,2014-01-09 00:00,28.8,2014-01-30 00:00,,,,,64.6,37.6,34.7,27.3,22.5,11.9,5.0,Burbank,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,1002,88101,1,34.17605,-118.31712,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),Concurred Events Excluded,56,15.0,N,56,365,1,125,2.0,2.0,Uncertified (past due),15.308929,10.958389,64.6,2014-01-01 00:00,37.6,2014-01-04 00:00,34.7,2014-01-09 00:00,28.8,2014-01-30 00:00,,,,,64.6,37.6,34.7,27.3,22.5,11.9,5.0,Burbank,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,1302,88101,1,33.901389,-118.205,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),No Events,41,34.0,N,41,122,0,80,1.0,1.0,Uncertified (past due),16.636585,9.288831,35.8,2014-01-11 00:00,33.5,2014-01-20 00:00,30.9,2014-11-28 00:00,30.8,2014-01-29 00:00,,,,,35.8,35.8,30.9,30.3,23.5,13.6,7.1,Compton,700 North Bullis Road,California,Los Angeles,Compton,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,4002,88101,1,33.82376,-118.18921,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2014,Micrograms/cubic meter (LC),Events Excluded,96,27.0,N,97,365,0,268,1.0,1.0,Uncertified (past due),13.841667,7.966452,38.3,2014-01-10 00:00,35.0,2014-12-21 00:00,32.9,2014-01-11 00:00,32.1,2014-01-09 00:00,,,,,38.3,35.0,31.6,24.6,17.4,12.2,4.8,Long Beach (North),"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
