state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
34,013,0003,88101,1,40.720989,-74.192892,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,84,69.0,N,84,122,0,3,0.0,0.0,Requested but denied,8.090476,4.394318,29.5,2020-11-08 00:00,21.3,2020-12-20 00:00,19.0,2020-12-11 00:00,17.9,2020-02-24 00:00,,,,,29.5,21.3,14.7,12.9,9.6,7.7,3.6,Newark Firehouse,360 Clinton Avenue,New Jersey,Essex,Newark,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,017,1003,88101,1,40.725413,-74.052293,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,235,64.0,N,235,366,0,3,0.0,0.0,Requested but denied,8.229787,4.56859,27.8,2020-11-09 00:00,27.7,2020-12-12 00:00,26.4,2020-12-21 00:00,25.3,2020-01-23 00:00,,,,,26.4,25.2,17.7,13.1,10.0,7.4,3.8,Jersey City Firehouse,"JCFD Engine 5/Ladder 6, 355 Newark Avenue",New Jersey,Hudson,Jersey City,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,017,1003,88101,2,40.725413,-74.052293,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,38,62.0,N,38,61,0,0,0.0,0.0,Requested but denied,8.036842,3.599731,17.7,2020-12-11 00:00,15.7,2020-09-24 00:00,13.1,2020-01-22 00:00,13.0,2020-07-20 00:00,,,,,17.7,17.7,15.7,13.0,10.3,8.3,3.8,Jersey City Firehouse,"JCFD Engine 5/Ladder 6, 355 Newark Avenue",New Jersey,Hudson,Jersey City,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,017,0008,88101,1,40.770908,-74.036218,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,22,18.0,N,22,122,0,0,0.0,0.0,Certified,7.695455,3.675592,17.1,2020-02-24 00:00,13.2,2020-01-31 00:00,12.1,2020-02-18 00:00,11.2,2020-01-22 00:00,,,,,17.1,17.1,13.2,12.1,9.8,7.4,3.2,Union City High School,2500 John F. Kennedy Blvd.,New Jersey,Hudson,Union City,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,023,0011,88101,1,40.462182,-74.429439,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,85,70.0,N,85,122,0,0,0.0,0.0,Requested but denied,6.868235,3.202202,19.8,2020-11-08 00:00,15.5,2020-12-11 00:00,13.1,2020-02-24 00:00,12.9,2020-08-10 00:00,,,,,19.8,15.5,12.0,11.3,8.5,6.4,3.3,Rutgers University,"Vegetable Farm 3, 67 Ryders Lane",New Jersey,Middlesex,East Brunswick (Township of),35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,027,3001,88101,1,40.787628,-74.676301,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,86,70.0,N,86,122,0,0,0.0,0.0,Certified,5.495349,3.675,24.2,2020-07-08 00:00,17.7,2020-12-20 00:00,12.9,2020-12-11 00:00,11.5,2020-07-05 00:00,,,,,24.2,17.7,11.2,9.7,7.1,4.2,2.2,Chester,"Department of Public Works Bldg. #1, 50 North Road",New Jersey,Morris,Chester,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,031,0005,88101,1,40.918381,-74.168092,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,20,16.0,N,20,122,0,0,0.0,0.0,Certified,7.34,4.161781,16.1,2020-02-24 00:00,14.2,2020-01-31 00:00,13.1,2020-02-09 00:00,11.5,2020-01-04 00:00,,,,,16.1,16.1,16.1,14.2,10.3,7.7,2.5,Paterson,"Paterson Board of Health, 176 Broadway",New Jersey,Passaic,Paterson,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,029,2002,88101,1,39.994908,-74.170447,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,223,61.0,N,223,366,0,1,0.0,0.0,Requested but denied,5.935874,2.910445,18.4,2020-12-21 00:00,15.5,2020-12-20 00:00,14.0,2020-08-25 00:00,13.9,2020-07-30 00:00,,,,,14.0,13.8,11.6,9.7,7.5,5.3,2.9,Toms River,"Hooper Avenue Elementary School, 1517 Hooper Avenue",New Jersey,Ocean,Toms River,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,039,0004,88101,1,40.64144,-74.208365,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,243,66.0,N,243,366,0,2,0.0,0.0,Requested but denied,8.92963,4.958208,34.0,2020-11-09 00:00,32.7,2020-12-12 00:00,29.1,2020-01-24 00:00,25.4,2020-11-08 00:00,,,,,29.1,23.6,18.2,14.3,11.3,8.1,3.7,Elizabeth Lab,NJ Turnpike Interchange 13 Toll Plaza,New Jersey,Union,Elizabeth,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
34,039,0004,88101,2,40.64144,-74.208365,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,42,69.0,N,42,61,0,0,0.0,0.0,Requested but denied,8.266667,3.240947,16.0,2020-07-08 00:00,14.0,2020-09-24 00:00,13.4,2020-02-09 00:00,12.2,2020-02-03 00:00,,,,,16.0,16.0,13.4,12.2,10.9,8.3,4.5,Elizabeth Lab,NJ Turnpike Interchange 13 Toll Plaza,New Jersey,Union,Elizabeth,35620,"New York-Newark-Jersey City, NY-NJ-PA",2024-05-18
