state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,2014,Micrograms/cubic meter (LC),No Events,6678,76.0,Y,281,365,0,2082,,,Certified,9.257592,6.330233,57.2,2014-01-06 21:00,56.1,2014-03-08 06:00,56.1,2014-03-20 01:00,53.1,2014-03-08 05:00,,,,,32.8,27.8,20.9,17.0,11.7,7.7,3.3,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-05-18
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2014,Micrograms/cubic meter (LC),No Events,278,76.0,N,278,365,0,0,0.0,0.0,Certified,9.216906,4.522727,26.3,2014-07-12 00:00,25.8,2014-03-29 00:00,25.4,2014-03-06 00:00,24.3,2014-03-08 00:00,,,,,25.4,21.1,18.3,15.8,11.7,8.3,4.5,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-05-18
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2014,Micrograms/cubic meter (LC),No Events,278,76.0,N,278,365,0,0,,,Certified,9.216906,4.522727,26.3,2014-07-12 00:00,25.8,2014-03-29 00:00,25.4,2014-03-06 00:00,24.3,2014-03-08 00:00,,,,,25.4,21.1,18.3,15.8,11.7,8.3,4.5,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-05-18
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2014,Micrograms/cubic meter (LC),No Events,278,76.0,N,278,365,0,0,0.0,0.0,Certified,9.216906,4.522727,26.3,2014-07-12 00:00,25.8,2014-03-29 00:00,25.4,2014-03-06 00:00,24.3,2014-03-08 00:00,,,,,25.4,21.1,18.3,15.8,11.7,8.3,4.5,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-05-18
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2014,Micrograms/cubic meter (LC),No Events,278,76.0,N,278,365,0,0,,,Certified,9.216906,4.522727,26.3,2014-07-12 00:00,25.8,2014-03-29 00:00,25.4,2014-03-06 00:00,24.3,2014-03-08 00:00,,,,,25.4,21.1,18.3,15.8,11.7,8.3,4.5,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-05-18
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2014,Micrograms/cubic meter (LC),No Events,278,76.0,N,278,365,0,0,,,Certified,9.216906,4.522727,26.3,2014-07-12 00:00,25.8,2014-03-29 00:00,25.4,2014-03-06 00:00,24.3,2014-03-08 00:00,,,,,25.4,21.1,18.3,15.8,11.7,8.3,4.5,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-05-18
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,Quarterly Means of Daily Means,,2014,Micrograms/cubic meter (LC),No Events,278,76.0,N,278,365,0,0,31.0,31.0,Certified,9.216906,4.522727,26.3,2014-07-12 00:00,25.8,2014-03-29 00:00,25.4,2014-03-06 00:00,24.3,2014-03-08 00:00,,,,,25.4,21.1,18.3,15.8,11.7,8.3,4.5,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-05-18
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,,2014,Micrograms/cubic meter (LC),No Events,278,76.0,N,278,365,0,0,0.0,0.0,Certified,9.216906,4.522727,26.3,2014-07-12 00:00,25.8,2014-03-29 00:00,25.4,2014-03-06 00:00,24.3,2014-03-08 00:00,,,,,25.4,21.1,18.3,15.8,11.7,8.3,4.5,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-05-18
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2024,Quarterly Means of Daily Means,,2014,Micrograms/cubic meter (LC),No Events,278,76.0,N,278,365,0,0,116.0,31.0,Certified,9.216906,4.522727,26.3,2014-07-12 00:00,25.8,2014-03-29 00:00,25.4,2014-03-06 00:00,24.3,2014-03-08 00:00,,,,,25.4,21.1,18.3,15.8,11.7,8.3,4.5,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-05-18
40,143,1127,88101,1,36.204902,-95.976537,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2014,Micrograms/cubic meter (LC),No Events,311,85.0,Y,311,365,0,54,0.0,0.0,Certified,9.094855,4.950585,30.7,2014-07-12 00:00,28.7,2014-03-06 00:00,25.8,2014-03-29 00:00,23.4,2014-06-30 00:00,,,,,23.4,21.4,17.7,15.8,11.9,8.1,3.5,NORTH TULSA - FIRE STATION#24,3520 1/2 N. PEORIA,Oklahoma,Tulsa,Tulsa,46140,"Tulsa, OK",2024-05-18
