state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Multiple Methods Used,2018,Micrograms/cubic meter (LC),Events Excluded,6302,93.0,Y,342,365,0,630,,,Certified,10.985877,7.419398,159.2,2018-03-24 16:00,104.7,2018-03-24 17:00,86.9,2018-03-24 14:00,69.1,2018-07-05 01:00,,,,,33.8,27.5,21.9,17.5,12.7,7.5,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-07-29
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Multiple Methods Used,2018,Micrograms/cubic meter (LC),Events Included,8130,93.0,Y,342,365,1828,630,,,Certified,10.305412,6.946096,159.2,2018-03-24 16:00,104.7,2018-03-24 17:00,86.9,2018-03-24 14:00,69.1,2018-07-05 01:00,,,,,33.8,27.6,22.1,18.0,13.3,9.0,3.8,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-07-29
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Multiple Methods Used,2018,Micrograms/cubic meter (LC),Concurred Events Excluded,8130,93.0,Y,342,365,1828,630,,,Certified,10.305412,6.946096,159.2,2018-03-24 16:00,104.7,2018-03-24 17:00,86.9,2018-03-24 14:00,69.1,2018-07-05 01:00,,,,,33.8,27.6,22.1,18.0,13.3,9.0,3.8,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-07-29
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2018,Micrograms/cubic meter (LC),Events Excluded,263,93.0,N,339,365,0,0,0.0,0.0,Certified,10.946008,5.003683,33.5,2018-03-24 00:00,28.9,2018-07-01 00:00,28.0,2018-07-03 00:00,26.8,2018-07-02 00:00,,,,,26.8,24.8,20.6,15.9,12.0,8.6,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-07-29
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2018,Micrograms/cubic meter (LC),Events Excluded,263,93.0,N,339,365,0,0,,,Certified,10.946008,5.003683,33.5,2018-03-24 00:00,28.9,2018-07-01 00:00,28.0,2018-07-03 00:00,26.8,2018-07-02 00:00,,,,,26.8,24.8,20.6,15.9,12.0,8.6,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-07-29
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2018,Micrograms/cubic meter (LC),Events Excluded,263,93.0,N,339,365,0,0,0.0,0.0,Certified,10.946008,5.003683,33.5,2018-03-24 00:00,28.9,2018-07-01 00:00,28.0,2018-07-03 00:00,26.8,2018-07-02 00:00,,,,,26.8,24.8,20.6,15.9,12.0,8.6,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-07-29
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2018,Micrograms/cubic meter (LC),Events Excluded,263,93.0,N,339,365,0,0,,,Certified,10.946008,5.003683,33.5,2018-03-24 00:00,28.9,2018-07-01 00:00,28.0,2018-07-03 00:00,26.8,2018-07-02 00:00,,,,,26.8,24.8,20.6,15.9,12.0,8.6,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-07-29
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,Multiple Methods Used,2018,Micrograms/cubic meter (LC),Events Excluded,263,93.0,N,339,365,0,0,,,Certified,10.946008,5.003683,33.5,2018-03-24 00:00,28.9,2018-07-01 00:00,28.0,2018-07-03 00:00,26.8,2018-07-02 00:00,,,,,26.8,24.8,20.6,15.9,12.0,8.6,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-07-29
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,Quarterly Means of Daily Means,Multiple Methods Used,2018,Micrograms/cubic meter (LC),Events Excluded,263,93.0,N,339,365,0,0,39.0,39.0,Certified,10.946008,5.003683,33.5,2018-03-24 00:00,28.9,2018-07-01 00:00,28.0,2018-07-03 00:00,26.8,2018-07-02 00:00,,,,,26.8,24.8,20.6,15.9,12.0,8.6,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-07-29
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,Multiple Methods Used,2018,Micrograms/cubic meter (LC),Events Excluded,263,93.0,N,339,365,0,0,0.0,0.0,Certified,10.946008,5.003683,33.5,2018-03-24 00:00,28.9,2018-07-01 00:00,28.0,2018-07-03 00:00,26.8,2018-07-02 00:00,,,,,26.8,24.8,20.6,15.9,12.0,8.6,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-07-29
