state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
06,059,0007,88101,1,33.83062,-117.93845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,295,81.0,N,295,365,0,70,3.0,3.0,Uncertified (past due),9.592542,6.231139,45.8,2015-02-04 00:00,43.9,2015-01-20 00:00,41.6,2015-02-05 00:00,34.4,2015-02-19 00:00,,,,,41.6,29.8,23.4,14.8,10.9,8.1,4.5,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,059,2022,88101,1,33.63003,-117.67593,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,115,95.0,Y,115,121,0,6,0.0,0.0,Uncertified (past due),7.041739,4.186653,31.5,2015-02-05 00:00,29.8,2015-01-24 00:00,15.1,2015-01-18 00:00,14.0,2015-01-03 00:00,,,,,29.8,15.1,13.8,10.5,8.7,6.5,3.5,Mission Viejo,"26081 VIA PERA, MISSION VIEJO, CA 92691",California,Orange,Mission Viejo,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,0002,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),Events Excluded,119,99.0,Y,120,121,0,2,1.0,1.0,Uncertified (past due),9.384034,6.117147,44.3,2015-02-05 00:00,30.0,2015-02-20 00:00,28.0,2015-01-21 00:00,23.4,2015-02-17 00:00,,,,,30.0,28.0,19.0,16.5,11.2,8.8,3.4,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,0002,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),Events Included,120,99.0,Y,120,121,1,2,2.0,2.0,Uncertified (past due),9.891667,8.247909,70.3,2015-07-05 00:00,44.3,2015-02-05 00:00,30.0,2015-02-20 00:00,28.0,2015-01-21 00:00,,,,,44.3,30.0,21.1,16.6,11.2,8.8,3.5,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,0002,88101,1,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),Concurred Events Excluded,120,99.0,Y,120,121,1,2,2.0,2.0,Uncertified (past due),9.891667,8.247909,70.3,2015-07-05 00:00,44.3,2015-02-05 00:00,30.0,2015-02-20 00:00,28.0,2015-01-21 00:00,,,,,44.3,30.0,21.1,16.6,11.2,8.8,3.5,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,1302,88101,1,33.901389,-118.205,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,111,92.0,Y,111,121,0,12,3.0,3.0,Uncertified (past due),11.911712,7.250652,41.3,2015-01-21 00:00,40.0,2015-02-05 00:00,37.2,2015-01-18 00:00,34.0,2015-01-03 00:00,,,,,40.0,37.2,28.0,18.9,13.5,10.2,5.5,Compton,700 North Bullis Road,California,Los Angeles,Compton,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,4002,88101,1,33.82376,-118.18921,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2015,Micrograms/cubic meter (LC),Events Excluded,337,93.0,Y,338,365,0,27,2.0,2.0,Uncertified (past due),10.78546,6.314095,54.6,2015-02-04 00:00,45.4,2015-01-20 00:00,34.6,2015-01-19 00:00,34.5,2015-02-05 00:00,,,,,34.5,32.1,24.2,17.9,12.1,9.4,5.3,Long Beach (North),"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,4002,88101,1,33.82376,-118.18921,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2015,Micrograms/cubic meter (LC),Events Included,338,93.0,Y,338,365,1,27,3.0,3.0,Uncertified (past due),10.889349,6.587679,54.6,2015-02-04 00:00,45.9,2015-01-01 00:00,45.4,2015-01-20 00:00,34.6,2015-01-19 00:00,,,,,34.6,32.1,24.5,17.9,12.1,9.4,5.3,Long Beach (North),"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,4002,88101,1,33.82376,-118.18921,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2015,Micrograms/cubic meter (LC),Concurred Events Excluded,338,93.0,Y,338,365,1,27,3.0,3.0,Uncertified (past due),10.889349,6.587679,54.6,2015-02-04 00:00,45.9,2015-01-01 00:00,45.4,2015-01-20 00:00,34.6,2015-01-19 00:00,,,,,34.6,32.1,24.5,17.9,12.1,9.4,5.3,Long Beach (North),"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
06,037,4004,88101,1,33.79236,-118.17533,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,347,95.0,Y,347,365,0,18,4.0,4.0,Uncertified (past due),10.15562,5.971211,48.3,2015-02-04 00:00,41.6,2015-01-20 00:00,40.6,2015-03-20 00:00,35.8,2015-02-05 00:00,,,,,35.8,31.2,20.6,15.8,11.5,9.0,5.3,Long Beach (South),"1305 E. Pacific Coast Hwy., Long Beach",California,Los Angeles,Long Beach,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18
