state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Multiple Methods Used,2023,Micrograms/cubic meter (LC),Events Excluded,1951,84.0,Y,310,365,0,1385,,,Requested but not yet concurred,7.076269,3.574852,32.7,2023-12-12 01:00,28.2,2023-12-13 08:00,23.5,2023-11-13 20:00,20.9,2023-12-14 07:00,,,,,14.3,12.7,10.2,7.5,2.2,,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-06-15
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Multiple Methods Used,2023,Micrograms/cubic meter (LC),Events Included,7375,84.0,Y,310,365,5424,1385,,,Requested but not yet concurred,8.986278,6.385774,154.7,2023-01-10 23:00,143.8,2023-01-11 00:00,130.9,2023-01-11 01:00,119.6,2023-04-01 14:00,,,,,24.4,20.7,17.3,14.8,11.3,7.9,3.8,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-06-15
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Multiple Methods Used,2023,Micrograms/cubic meter (LC),Concurred Events Excluded,7375,84.0,Y,310,365,5424,1385,,,Requested but not yet concurred,8.986278,6.385774,154.7,2023-01-10 23:00,143.8,2023-01-11 00:00,130.9,2023-01-11 01:00,119.6,2023-04-01 14:00,,,,,24.4,20.7,17.3,14.8,11.3,7.9,3.8,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-06-15
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2023,Micrograms/cubic meter (LC),Events Excluded,81,84.0,N,306,365,0,0,0.0,0.0,Requested but not yet concurred,7.051852,2.613193,13.7,2023-12-22 00:00,12.5,2023-12-02 00:00,11.9,2023-11-15 00:00,11.3,2023-11-18 00:00,,,,,11.3,10.8,9.7,7.5,2.9,,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-06-15
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2023,Micrograms/cubic meter (LC),Events Excluded,81,84.0,N,306,365,0,0,,,Requested but not yet concurred,7.051852,2.613193,13.7,2023-12-22 00:00,12.5,2023-12-02 00:00,11.9,2023-11-15 00:00,11.3,2023-11-18 00:00,,,,,11.3,10.8,9.7,7.5,2.9,,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-06-15
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2023,Micrograms/cubic meter (LC),Events Excluded,81,84.0,N,306,365,0,0,0.0,0.0,Requested but not yet concurred,7.051852,2.613193,13.7,2023-12-22 00:00,12.5,2023-12-02 00:00,11.9,2023-11-15 00:00,11.3,2023-11-18 00:00,,,,,11.3,10.8,9.7,7.5,2.9,,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-06-15
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2023,Micrograms/cubic meter (LC),Events Excluded,81,84.0,N,306,365,0,0,,,Requested but not yet concurred,7.051852,2.613193,13.7,2023-12-22 00:00,12.5,2023-12-02 00:00,11.9,2023-11-15 00:00,11.3,2023-11-18 00:00,,,,,11.3,10.8,9.7,7.5,2.9,,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-06-15
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,Multiple Methods Used,2023,Micrograms/cubic meter (LC),Events Excluded,81,84.0,N,306,365,0,0,,,Requested but not yet concurred,7.051852,2.613193,13.7,2023-12-22 00:00,12.5,2023-12-02 00:00,11.9,2023-11-15 00:00,11.3,2023-11-18 00:00,,,,,11.3,10.8,9.7,7.5,2.9,,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-06-15
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,Quarterly Means of Daily Means,Multiple Methods Used,2023,Micrograms/cubic meter (LC),Events Excluded,81,84.0,N,306,365,0,0,0.0,0.0,Requested but not yet concurred,7.051852,2.613193,13.7,2023-12-22 00:00,12.5,2023-12-02 00:00,11.9,2023-11-15 00:00,11.3,2023-11-18 00:00,,,,,11.3,10.8,9.7,7.5,2.9,,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-06-15
40,143,0174,88101,3,35.953708,-96.004975,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2024,Daily Mean,Multiple Methods Used,2023,Micrograms/cubic meter (LC),Events Excluded,81,84.0,N,306,365,0,0,0.0,0.0,Requested but not yet concurred,7.051852,2.613193,13.7,2023-12-22 00:00,12.5,2023-12-02 00:00,11.9,2023-11-15 00:00,11.3,2023-11-18 00:00,,,,,11.3,10.8,9.7,7.5,2.9,,,TULSA SOUTH,502 EAST 144TH. PL.,Oklahoma,Tulsa,Glenpool,46140,"Tulsa, OK",2024-06-15
