location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,36.168716,96.07792,4246.0,0,GMT,GMT
1,40.738136,74.17021,3825.0,0,GMT,GMT
2,34.059753,118.125,20.0,0,GMT,GMT

location_id,time,temperature_2m_max (°F),temperature_2m_min (°F),precipitation_sum (inch)
0,2014-01-01,19.5,-4.6,0.000
0,2014-01-02,9.6,-24.2,0.000
0,2014-01-03,6.9,-24.6,0.000
0,2014-01-04,18.8,-23.7,0.000
0,2014-01-05,14.1,-13.6,0.000
0,2014-01-06,8.5,-12.4,0.012
0,2014-01-07,-1.7,-35.6,0.031
0,2014-01-08,5.2,-35.3,0.000
0,2014-01-09,16.1,-24.5,0.004
0,2014-01-10,7.1,-18.4,0.008
0,2014-01-11,3.4,-15.4,0.000
0,2014-01-12,5.8,-27.9,0.000
0,2014-01-13,12.9,-27.3,0.000
0,2014-01-14,15.2,-20.9,0.000
0,2014-01-15,13.1,-19.8,0.000
0,2014-01-16,13.6,-21.8,0.000
0,2014-01-17,18.6,-20.2,0.000
0,2014-01-18,14.0,-18.9,0.004
0,2014-01-19,6.2,-31.8,0.000
0,2014-01-20,12.4,-30.6,0.000
0,2014-01-21,20.6,-19.2,0.000
0,2014-01-22,26.7,-11.0,0.000
0,2014-01-23,30.2,1.8,0.012
0,2014-01-24,19.4,-17.4,0.000
0,2014-01-25,17.9,-17.9,0.000
0,2014-01-26,22.0,-8.7,0.000
0,2014-01-27,16.7,-9.7,0.000
0,2014-01-28,17.6,-8.5,0.000
0,2014-01-29,20.5,-8.6,0.000
0,2014-01-30,25.3,-8.5,0.000
0,2014-01-31,24.9,-5.0,0.000
0,2014-02-01,26.1,-7.9,0.000
0,2014-02-02,26.7,-3.9,0.000
0,2014-02-03,29.4,1.8,0.016
0,2014-02-04,28.9,5.1,0.000
0,2014-02-05,26.5,3.3,0.008
0,2014-02-06,12.6,-2.2,0.000
0,2014-02-07,24.9,-0.9,0.000
0,2014-02-08,16.6,-6.0,0.000
0,2014-02-09,7.9,-8.5,0.016
0,2014-02-10,12.9,-8.1,0.000
0,2014-02-11,11.3,-3.3,0.000
0,2014-02-12,6.9,-5.7,0.000
0,2014-02-13,12.8,-5.0,0.000
0,2014-02-14,17.3,-2.6,0.020
0,2014-02-15,11.4,-0.6,0.094
0,2014-02-16,5.2,-10.1,0.020
0,2014-02-17,5.2,-21.9,0.000
0,2014-02-18,6.9,-21.6,0.000
0,2014-02-19,17.5,-21.7,0.000
0,2014-02-20,19.9,-7.5,0.000
0,2014-02-21,20.6,-7.1,0.008
0,2014-02-22,21.0,-5.8,0.000
0,2014-02-23,25.8,-3.9,0.000
0,2014-02-24,24.9,-5.4,0.000
0,2014-02-25,28.2,-0.5,0.000
0,2014-02-26,20.6,3.3,0.000
0,2014-02-27,23.9,4.0,0.031
0,2014-02-28,18.1,3.9,0.008
0,2014-03-01,19.5,2.1,0.008
0,2014-03-02,20.4,6.8,0.028
0,2014-03-03,18.0,-2.1,0.004
0,2014-03-04,23.1,-2.8,0.000
0,2014-03-05,16.7,-3.2,0.000
0,2014-03-06,19.4,-3.2,0.024
0,2014-03-07,16.2,-5.3,0.000
0,2014-03-08,20.9,-5.1,0.000
0,2014-03-09,23.2,3.0,0.000
0,2014-03-10,31.2,6.3,0.000
0,2014-03-11,24.0,-1.4,0.000
0,2014-03-12,20.7,-2.6,0.000
0,2014-03-13,22.1,2.4,0.000
0,2014-03-14,22.3,-2.2,0.012
0,2014-03-15,34.8,-4.2,0.000
0,2014-03-16,40.6,7.9,0.000
0,2014-03-17,35.2,7.1,0.000
0,2014-03-18,37.6,5.9,0.000
0,2014-03-19,35.0,15.9,0.000
0,2014-03-20,25.2,13.0,0.189
0,2014-03-21,25.5,5.3,0.000
0,2014-03-22,27.5,3.9,0.000
0,2014-03-23,24.7,2.6,0.024
0,2014-03-24,29.3,1.8,0.000
0,2014-03-25,32.4,2.1,0.000
0,2014-03-26,31.5,3.3,0.008
0,2014-03-27,31.2,7.2,0.004
0,2014-03-28,35.7,8.5,0.004
0,2014-03-29,32.9,9.6,0.059
0,2014-03-30,28.5,8.7,0.000
0,2014-03-31,29.0,7.6,0.012
0,2014-04-01,22.7,3.0,0.055
0,2014-04-02,27.0,2.1,0.000
0,2014-04-03,29.8,4.2,0.000
0,2014-04-04,30.9,4.5,0.000
0,2014-04-05,35.7,7.3,0.000
0,2014-04-06,39.9,8.2,0.000
0,2014-04-07,42.8,15.8,0.000
0,2014-04-08,45.6,17.4,0.134
0,2014-04-09,37.0,17.8,0.047
0,2014-04-10,33.5,18.3,0.024
0,2014-04-11,28.5,9.4,0.028
0,2014-04-12,38.4,9.9,0.000
0,2014-04-13,38.7,16.9,0.150
0,2014-04-14,42.0,17.0,0.020
0,2014-04-15,31.3,15.7,0.114
0,2014-04-16,36.6,11.1,0.004
0,2014-04-17,31.4,8.0,0.075
0,2014-04-18,28.0,8.4,0.047
0,2014-04-19,37.3,10.9,0.020
0,2014-04-20,28.2,13.9,0.134
0,2014-04-21,32.2,14.8,0.004
0,2014-04-22,38.1,13.7,0.000
0,2014-04-23,39.6,14.9,0.000
0,2014-04-24,31.3,9.7,0.004
0,2014-04-25,33.2,10.5,0.000
0,2014-04-26,37.4,11.3,0.000
0,2014-04-27,38.9,18.0,0.000
0,2014-04-28,38.9,14.4,0.000
0,2014-04-29,43.3,16.4,0.000
0,2014-04-30,44.7,15.9,0.067
0,2014-05-01,34.9,15.1,0.000
0,2014-05-02,39.0,18.9,0.000
0,2014-05-03,38.7,24.5,0.000
0,2014-05-04,39.8,20.6,0.000
0,2014-05-05,42.1,22.1,0.000
0,2014-05-06,40.7,17.5,0.000
0,2014-05-07,42.4,19.8,0.000
0,2014-05-08,46.9,22.9,0.004
0,2014-05-09,42.6,12.6,0.083
0,2014-05-10,32.4,14.2,0.000
0,2014-05-11,44.0,19.0,0.000
0,2014-05-12,47.4,24.2,0.059
0,2014-05-13,42.8,17.3,0.071
0,2014-05-14,33.2,17.7,0.039
0,2014-05-15,37.3,20.4,0.004
0,2014-05-16,40.7,22.0,0.012
0,2014-05-17,42.3,24.0,0.012
0,2014-05-18,35.9,17.3,0.020
0,2014-05-19,47.6,22.2,0.000
0,2014-05-20,52.2,27.3,0.000
0,2014-05-21,54.6,31.4,0.035
0,2014-05-22,46.0,26.2,0.118
0,2014-05-23,53.9,22.3,0.063
0,2014-05-24,38.0,24.2,0.063
0,2014-05-25,40.9,25.1,0.039
0,2014-05-26,40.9,28.9,0.004
0,2014-05-27,40.8,32.2,0.075
0,2014-05-28,45.6,33.7,0.000
0,2014-05-29,41.9,30.0,0.004
0,2014-05-30,49.0,28.0,0.008
0,2014-05-31,60.2,32.6,0.000
0,2014-06-01,60.0,36.3,0.055
0,2014-06-02,64.8,31.6,0.189
0,2014-06-03,51.9,34.8,0.000
0,2014-06-04,54.4,34.6,0.043
0,2014-06-05,48.4,26.3,0.000
0,2014-06-06,54.2,31.4,0.016
0,2014-06-07,55.1,38.3,0.000
0,2014-06-08,57.9,37.1,0.000
0,2014-06-09,52.8,38.6,0.000
0,2014-06-10,57.2,32.1,0.138
0,2014-06-11,42.4,32.4,0.094
0,2014-06-12,39.0,32.5,0.122
0,2014-06-13,42.8,32.7,0.012
0,2014-06-14,42.0,32.5,0.000
0,2014-06-15,47.4,33.9,0.012
0,2014-06-16,52.4,30.2,0.000
0,2014-06-17,56.3,34.0,0.043
0,2014-06-18,46.9,34.6,0.087
0,2014-06-19,46.4,31.5,0.150
0,2014-06-20,48.6,33.0,0.000
0,2014-06-21,52.0,36.3,0.008
0,2014-06-22,55.1,39.7,0.000
0,2014-06-23,56.1,32.8,0.370
0,2014-06-24,45.8,35.0,0.146
0,2014-06-25,43.3,35.2,0.185
0,2014-06-26,44.2,36.7,0.110
0,2014-06-27,39.6,32.9,0.248
0,2014-06-28,45.2,28.3,0.055
0,2014-06-29,44.2,32.4,0.071
0,2014-06-30,45.6,29.0,0.067
0,2014-07-01,51.6,32.8,0.098
0,2014-07-02,49.4,28.1,0.075
0,2014-07-03,54.7,32.7,0.000
0,2014-07-04,57.3,40.5,0.016
0,2014-07-05,54.4,42.6,0.366
0,2014-07-06,53.7,43.9,0.079
0,2014-07-07,50.9,37.3,0.409
0,2014-07-08,43.4,37.2,0.374
0,2014-07-09,48.4,33.2,0.000
0,2014-07-10,52.8,36.8,0.047
0,2014-07-11,52.1,39.8,0.000
0,2014-07-12,53.0,39.3,0.000
0,2014-07-13,55.4,40.3,0.000
0,2014-07-14,57.0,34.6,0.000
0,2014-07-15,60.9,35.0,0.000
0,2014-07-16,65.9,38.4,0.000
0,2014-07-17,66.3,44.0,0.083
0,2014-07-18,54.5,42.4,0.091
0,2014-07-19,56.7,40.3,0.201
0,2014-07-20,52.5,40.6,0.067
0,2014-07-21,46.5,39.6,0.260
0,2014-07-22,47.3,37.5,0.406
0,2014-07-23,50.3,31.1,0.000
0,2014-07-24,57.0,34.1,0.000
0,2014-07-25,58.7,39.4,0.000
0,2014-07-26,58.1,36.5,0.012
0,2014-07-27,61.8,39.3,0.008
0,2014-07-28,60.0,38.6,0.016
0,2014-07-29,63.2,40.8,0.012
0,2014-07-30,64.4,40.4,0.000
0,2014-07-31,64.5,43.5,0.043
0,2014-08-01,58.7,43.3,0.031
0,2014-08-02,52.4,42.5,0.327
